अंकन,ankan
घोलते,gholte
च,ch
चंदर,chandra
चंदा,chanda
चंदे,chande
चंद्रमा,chandrama
चकलेश्वर,chakleshwar
चक्करों,chakkaron
चचेरी,chacheri
चटर्जी,chatarji
चतुष्कोण,chatushkon
चपेट,chapet
चमोली,chamoli
चराचर,charachar
चलाकी,chalaki
चहचहाहट,chahchahahat
चहते,chahte
चहरा,chehra
चाइल्डहुड,childhood
चाक,chaak
चाटते,chatate
चाटने,chatne
चातुर्मास,chaturmas
चादरें,chadren
चारदिवारी,chardiwari
चारु,charu
चारे,chare
चारो,charo
चार्जर,charger
चार्टर,chartar
चाहेगा,chahega
चिंटू,chintu
चिंताजनक,chintajank
चिठ्ठियों,chitthiyon
चिड़चिड़े,chidchide
चित्त,chitt
चित्ती,chitti
चित्रकारी,chitrakari
चित्रकारों,chitrakaaron
चीता,chita
चीथड़े,chithade
चुंबन,chunban
चुकाता,chukatha
चुननी,chunni
चुनवा,chunwa
चुनौति,chunothi
चुनौतियों,chunautiyon
चुभ,chubh
चेज,chej
चेटक,chetak
चेट्टियार,chettiyar
चेल्सी,chelsi
चोरियां,choriyan
चोरियों,choriyon
चौंकती,chaunkti
चौंतीस,chauntis
चौंसठ,chausath
चौकियों,chaukiyon
चौकों,chaukon
चौपालों,chaupalon
चौबे,chaube
चौबेपुर,chaubepur
छपरा,chhapra
छप्पन,chhappan
छलावा,chhalava
छवियां,chhaviyan
छवियों,chhaviyon
छाए,chhaye
छाछ,chhachh
छानकर,chhankar
छाया,chaya
छायाकार,chhayakar
छायाप्रति,chhayaprati
छिट,chhit
छिड़,chhida
छिड़ा,chhidaa
छिड़ी,chhidi
छिपते,chhipte
छुप,chhup
छुपी,chupi
छुपे,chhupe
छूती,chhuti
छेड़ते,chhedte
छोड़ने,chhodane
जंजीर,zanjeer
जंजीरा,jnjiraa
जंजीरें,zanzeeren
जंजीरों,zanjeeron
जकड़,jakd
जगदीशपुर,jagdishpur
जज,jaj
जटवाड़ा,jatwada
जटिलता,jatilata
जटिलताओं,jatiltaon
जड़ता,jadta
जड़ी,jdi
जड़ों,jadon
जताने,jtaane
जनगण,jangan
जनजीवन,janjivn
जननेता,jannetaa
जनसंघ,janasangha
जनसूचना,jansuchnaa
जनाब,janab
जनोपयोगी,janopayogi
जन्नत,jannat
जन्मशती,janmshati
जमशेदपुर,jamshedpur
जयते,jayate
जयदीप,jaydeep
जयन,jayen
जयशंकर,jayshankar
जयसवाल,jaiswal
जया,jaya
जलांजलि,jalanjali
जवेरी,zaveri
जहर,jahar
जहरों,jahron
ज़मीर,zamir
जाओ,jao
जागकर,jagkar
जागती,jagati
जागने,jagne
जागृत,jagrit
जागो,jago
जाजपुर,jajpur
जाड़े,jade
जादव,jadav
जानकार,jankar
जानकारियां,jankariyan
जानकारियों,jaankariyon
जानकारी,jankari
जानिए,janiye
जानेमन,janeman
जाफरपुर,jafarpur
जामवाल,jamwal
जामे,jame
जायल,joyal
जार्ज,george
जावड़ेकर,javdekar
जाविद,javid
जितने,jitne
जिनके,jinke
जिनालय,jinalay
जिप्सियों,jipsiyon
जिम्मा,jimmaa
जियान,jiyan
जियो,jiyo
जिराफ,giraffe
जीई,ji
जीनी,jini
जीयनपुर,jiyanpur
जीवंतता,jivantata
जीवनों,jivanon
जीसैट,gset
जुट,jut
जुटे,jute
जुड़ते,judte
जुडास,judas
जुनशान,junshan
जुर्माने,jurmane
जुर्रत,jurrat
जुलना,julna
जूडी,judi
जूलियन,julian
जेएम,jm
जेद्दा,jedda
जेन,jen
जेफरी,geoffrey
जैक,jack
जैकमैन,jackman
जैकी,jackey
जैक्सन,jackson
जैगर,jaigar
जैनग्रंथों,jaingrnthon
जैना,jaina
जैनियों,jainiyon
जॉकी,jockey
जॉब,job
जो,jo
जोंग,jong
जोखिमों,jokhimon
जोडते,jorte
जोड़,jod
जोड़ियां,jodiyan
जोड़ी,jodi
जोता,jota
जोशुआ,joshua
जौहर,jauhar
जौहरियों,jauhariyon
जौहरी,jauhari
ज्ञानदेव,gyandev
ज्वारे,jware
झंझरी,jhanjhari
झडने,jhadne
झड़पों,jhadapon
झपकाना,jhapkana
झर,zar
झाड़ोल,jharol
झापड़,jhapad
झालावाड़,jhalawad
झुंझलाहट,jhunjhulahat
झुकना,jhukna
झुन्झुनू,jhunjhunu
झेलते,jhelte
झोंकने,jhonkne
झोला,jhola
झोली,jholi
टकराता,takrata
टकराने,takrane
टट्टी,tatti
टांका,tanki
टांगने,tangne
टाइटन,titen
टाइफून,typhoon
टाइमिंग,timing
टाऊन,town
टाकिया,takiya
टाटा,tata
टायलेट,tylet
टिकता,tiktaa
टिकर,tikar
टिकी,tiki
टिनटिन,tintin
टिप्स,tips
टिब्बी,tibby
टिमटिमाते,timtimate
टीकेडीएल,tkdl
टीच,teach
टीवीएस,tvs
टेंडर,temder
टेक्निकल,technical
टेढ़ी,tedhi
टेनेसी,tennessee
टेरेंस,terrence
टेस्टों,teston
टेस्टोस्टेरॉन,testosterone
टोंग,tong
टोकन,token
टोटके,totke
टोबेगो,tobego
ट्यून,tyun
ट्यूनर,tuner
ट्रकों,trucko
ट्रिब्यूट,tribute
ट्रिम,trim
ट्री,tree
ठप्पा,thappa
ठिठोली,ththoli
ठुकराकर,thukrakar
डक्ट,duct
डगमगाने,dagmagane
डटे,daten
डबरा,dabra
डबोक,dabok
डव,dove
डांसर्स,dansers
डाइनिंग,dining
डाउट,dought
डाउनलोड,download
डाउनलोडिंग,downloding
डाकिया,dakiya
डाबर,dabur
डायनासोरों,dynasoron
डालती,dalti
डाला,dala
डाली,dali
डिएगो,diago
डिकेन,diken
डिफेंसिव,defensive
डिले,dele
डीआरएस,drs
डीईओ,deo
डीएन,dn
डीटीएच,dth
डीडब्ल्यू,dw
डीडीटी,ddt
डीबीएस,dbs
डीलक्स,deluxe
डु,du
डुबोने,dubone
डुमरा,dumra
डूबकर,dubkar
डेट,debt
डेटिंग,dating
डेट्स,dates
डेप्यूटी,deputy
डेरियस,darius
डेलिवरी,delivery
डॉक्टरेट,doctorate
डोजर,doser
डोनोवैन,donpovain
डोमिनो,domino
डोमेन,domen
डोलोमाइट,dolomite
डोसा,dosa
ड्राई,dry
ड्रिबल,drible
ड्रैग,drag
ढकना,dhakna
ढाणियों,dhaniyon
ढाणी,dhani
ढिकाला,dhikala
ढीठ,dhith
ढीलापन,dhilapan
ढूंढते,dhundhte
ढूंढा,dhundha
ढूंढे,dhundhe
ढूंढें,dhundhen
ढोलक,dholak
तंत्रिका,tantrika
तंत्रिकीय,tantriy
तकदीर,taqdir
तकली,takli
तकी,taki
तड़ागी,tadagi
तनसुख,tansukh
तनीशा,tanisha
तपस्विनी,tapswini
तबस्सुम,tabssum
तभी,tabhi
तर,tar
तरफ,taraf
तरसते,tarsate
तराशने,tarshne
तराशा,tarasha
तराशी,tarashi
तर्कवादी,tarkwadi
तर्को,tarko
तलपडे,talpade
तलाशना,talashna
तले,tale
तल्लीन,tallin
तस्लीम,taslim
ताकि,taki
ताजिक,tajik
ताजुल,tajul
तात्या,tatya
तापमान,taapman
तारकोल,tarkol
तारीफ़,tarif
तारे,tare
तालाबंद,talaband
तिकोना,tikona
तिथी,tithi
तिमाही,timaahi
तिमिर,timir
तिरप,tirp
तिरस्कृत,tiraskrut
तिसरी,tisri
तीरंदाजी,tirandaji
तुक्का,tukka
तुमने,tumne
तुम्हारे,tumhare
तुर्की,turki
तें,ten
तेंदू,tendu
तेंदूखेड़ा,tendukheda
तेजपुर,tezpur
तेजस्वी,tejasvi
तेजाब,tejab
तेलियों,teliyon
तेलीय,teliya
तेवर,tevar
तेवरों,tevron
तैयब,taiyab
तोडना,todna
तोता,tota
तोषी,tosi
तौलने,taulne
तौला,taula
त्रिलोक,trilok
थककर,thakkar
थपथपाने,thapthpane
थर्मल,thermal
थाती,thati
थामने,thamne
थिएटर,theater
थैंक,thank
थैंक्स,thnaks
थैला,thela
थैलियां,thailiyan
थैलियों,thailiyon
थैलों,thailon
थोमस,thomas
थ्रस्ट,thrust
थ्री,three
दंगे,dange
दंत,dant
दक्कन,dakkan
दगाबाज,dagabaja
दन,dan
दफनाई,dafnaayi
दमयंती,damyanti
दमित,damit
दरवाजा,daravaja
दरस,daras
दरियाई,dariyai
दरियापुर,dariyapur
दरीबा,dariba
दर्जन,darjan
दर्रे,darre
दर्शाई,darshai
दल,dal
दलबीर,dalbir
दलेल,dalele
दलों,dalo
दशहरा,dussehra
दशांश,dashansh
दस्ताने,dastane
दस्तावेजी,dastveji
दस्तावेजों,dastavejo
दहक,dahak
दहला,dahla
दादर,dadar
दाम,daam
दामन,daman
दामाद,damad
दामिनी,damini
दामों,damon
दाल,dal
दाली,dali
दालों,dalon
दाहसंस्कार,dahsanskar
दाहिने,daahine
दिंगबर,dingbar
दिगर,digar
दिनाजपुर,dinakpur
दिमाग,dimag
दिमागी,dimagi
दिमागों,dimagon
दियास,diyas
दिलजले,diljale
दिलवाए,dilwaye
दिलाया,dilaya
दिलायी,dilayi
दिलीप,dilip
दीन,din
दीप,deep
दीपा,dipa
दीवालिया,diwaliya
दुकान,dukan
दुकानें,dukane
दुख,dukh
दुखी,dukhi
दुगुने,dugune
दुघर्टना,durghatna
दुत्कार,dutkaar
दुधिया,dudhiyaa
दुपट्टा,dupatta
दुबई,dubai
दुबारा,dubara
दुरूह,duruh
दुर्घटनाओं,durghtnaon
दुसरे,dusre
दूसरी,dusri
दृढ़ता,drudhta
देघाट,deghat
देते,dete
देवदार,devdar
देवीदास,devidas
दैन्य,dainya
दैवज्ञ,divaigya
दोगुने,dogune
दोहराने,dohrane
दौड़ाने,daudane
दौलत,daulat
द्रोपदी,dropadi
द्रोही,drohi
द्वादशी,dwadashi
द्वारपाल,dwarpal
द्वेश,dwesh
धंधा,dhandha
धनार्थी,dhanarthi
धनी,dhani
धनोप,dhanop
धब्बे,dhabbe
धरती,dharti
धरने,dharne
धर्मा,dharma
धारकों,dharko
धुंआधार,dhunadhar
धुंधलापन,dhundhlapan
धुत,dhut
धू,dhu
धून,dhuun
धूम्र,dhumra
धोते,dhote
ध्येय,dhyey
नंगे,nange
नकुम,nakum
नक्सलवादियों,naxalwaadiyon
नक्सलवादी,naxalwaadi
नगीना,nagina
नच,nach
नजर,najar
नजरिए,najariye
नजरिये,najriye
नजरें,najren
नज़राना,nazrana
नज्द,najda
नथु,nathu
नभ,nabh
नरिता,narita
नरूला,narula
नरेगा,narega
नरेश,naresh
नर्गिस,nargis
नवतेज,navtej
नवबहार,navbahar
नव्य,navya
नष्ट,nasht
नहाए,nahaye
नाइस,nice
नागेश,nagesh
नाची,nachi
नाचो,nacho
नाते,naate
नानकी,nanki
नाबालिग,nabalig
नाबालिगों,nabaligon
नाभि,naabhi
नामदान,namdan
नामरूप,namrup
नामांकन,namankan
नामांतरण,namantaran
नामुमकिन,namumkin
नामों,namo
नायकों,nayakon
नारद,narad
नाराज,naraj
नाविकों,navikon
नाश्ते,nashte
निक,nick
निकालते,nikalte
निखरता,nikharataa
निखरा,nikharaa
निखरे,nikhare
निखार,nikhar
निखारा,nikhara
निगोही,nigohi
निजामपुर,nizampur
नित,neet
निपटाने,nipatne
निभाकर,nibhakar
निम्र,nimra
निरक्षरता,niraksharta
निरक्षरों,niraksharon
निरुपमा,nirupma
निवारण,nivaran
निवारणीय,nivarniy
निवेश,nivesh
निवेशक,niveshak
निवेशकों,niveshko
निवेशित,niveshit
निवेशों,nivesho
निषादराज,nishadraj
निहारती,nihaarti
नींद,nind
नीत,neet
नीति,niti
नीतिगत,nitigat
नीरज,neeraj
नीलांबर,nilambar
नू,nu
नृत्य,nritya
नेचुरोपैथी,naturopathy
नेट,net
नेटवेस्ट,netwest
नेट्स,nets
नेताओं,netaon
नेत्रहीन,netrhin
नेमसेक,nemsek
नेवा,newaa
नेशन,nation
नैराश्य,nairashya
नॉक,knock
नॉर,nor
नोकिया,nokia
नोखा,nokha
नोवा,nova
नौटंकी,notanki
नौतन,nautan
पंक्चर,puncture
पंक्ति,pankti
पंक्तियों,panktiyon
पंचांगों,punchangon
पंछियों,panchiyon
पंजाबी,punjabi
पंडालों,pandalon
पकते,pakte
पकी,paki
पक्षपाती,pakshpaati
पचरंगा,pachranga
पटक,patak
पड़ा,para
पड़ेगी,paregi
पतीला,patilaa
पत्नियां,patniya
पथरी,pathri
पद,pad
पद्य,padya
पधारना,padharna
पप्पी,pappi
पब्लिकेशन,publication
परछाई,parchhai
परजीवियों,parjiviyon
परण,parana
परतदार,paratdar
परदेस,pardesh
परनाना,parnana
परलोक,parlok
परवर्ती,paravarti
परवान,parwaan
परसाद,parsad
पराजय,paraajay
पराजयों,parajayon
परात्पर,paratpar
परिकल्प,parikalp
परिचारिका,paricharika
परिमाण,parimaan
परिमाणात्मक,perimanatmak
परिवर्तनशील,parivartanshil
परिषदें,parishaden
परीक्षण,parikshan
परीक्षणों,parikshano
परोसते,paroste
पलाश,palash
पल्ला,pallaa
पल्सर,pulser
पहनाना,pehnana
पहलगाम,pahalgam
पहलवी,pahalvi
पहुंचना,pahunchna
पहुंचाएं,pahunchayen
पहुंचाती,pahunchati
पाएगा,payega
पाओ,pao
पाञ्चजन्य,panchjanya
पापा,papa
पायथन,python
पारंपरिक,paramparik
पारदर्शी,paradarshi
पारसनाथ,parasnath
पार्लियामेंट,parliament
पाश्चात्य,paschatya
पासंग,pasang
पिका,pikaa
पिक्चर्स,pictures
पिक्सेल,pixel
पिग,peeg
पिछड़,pichad
पिछड़ा,pichhdaa
पिछड़ी,pichdi
पिछड़ेपन,pichhdepann
पिछेती,pichheti
पियर,piyar
पियरे,piyre
पिरो,piro
पिलाकर,pilakar
पीईटी,pit
पीजीआई,pgi
